text,label
"הייתם בצה""ל פעם? נכון מצחיק? תחשבו מה יקרה אם כזה יארגנו מלוניות ממשלתיות ויתנו לצה""ל לנהל אותן. צחוקים רצח",NOT
@Ofernicus @r_telem טוב פה איבדת אותי ידידי היקר אני בעד להעיף את ביבי אבל לעולם לא אקרא לו לא ציוני,NOT
@YiftachDayan ומוסיף ומדגיש: לדרמר היו יחסים טובים עם הדמוקרטים  כולל כמה מאנשי אובמה שעסקו באופן ממוקד בנושא הישראלי-פלסטיני. הנאום פגע בזה קשות.,NOT
"ובאשר לראשות הממשלה – אפשרות זאת תלויה אך ורק במוחו הרצחני של בן בלייעל שיאמין שהדרך היחידה להיפטר מנתניהו היא ברציחתו  בדיוק כפי שעמיר שינה את פני ההיסטוריה עם רצח רבין. בל נשכח שכמו שגנץ הגיע במקרה לראשות הפירמידה בצה""ל ובפוליטיקה כך יוכל גם להיות ראש ממשלה...",Offensive
@judash0 פרצופו האמיתי של אבי ביטון נחשף לעיני כל. מדובר בשמאלני  אנטי ציוני  עוכר ישראל  בוגד שממומן ע״י הקרן החדשה להפיל את שלטון הימין ולהעלות את המפלגות הערביות לשלטון כדי להוביל למדינת כל אזרחיה,Offensive
לאפה מעשה ידיי גבינת עיזים  סלט ערבי בכאילו טעיםםםם https://t.co/x9900KdMBG,NOT
מרגל נאצי סוחר סמים מפעיל טרור אזרחי 💉💺 https://t.co/jEhHPbMZ2i,NOT
@EyalZivIL כבר לא נשאר להם מה למכור לציבור חוץ משנאה. ועל קולות השונאים יש תחרות עזה. אז הם בונים על קולות מתנגדי החיסונים..,NOT
"להראות לכולם שלמרות שזאת היד ""רגילה"" הלבשתי עליה את יד שמאל  את כוח העל שלי. אני גאה בכוח הזה והוא מאפשר לי לראות אתכם ודרכם תוך שניות בודדות. אז ראו הוזהרתם. אגב אני לגמרי עושה את זה כי זה מגניב רצח. כמה מגניב? כל המשפחה שלי זרמה על זה והפכנו את זה לקעקוע משפחתי.",NOT
@KalmanLiebskind 5 עבריינים נוסעים בשטחים לעשות פיגוע אחד העבריינים מת כתוצאה ממרדף כואב  מי אשם? ההורים שלו  חינוך חרא. הרבנים שלו ששטפו לו את המח לשנאה מלאה נגד כולם ושמו בסוף אותו מתחת לרכב השר הפח אוחנה ושקד שבאו לנחם משפחת עבריין שנהרג הכל הפוך חבל ע,Offensive
@dvorili @yairtwi @drorfo דבורה חולה  בבלפור ההפגנה היא ברישיון ונמצאים ברחובות צדדים. הטםילים שרוקדים כאן עיכבו בשעות חצי מיליון איש או יותר ועל מה? על טפיל חבר שלהם שנעצר על עריקות. ימח שמכם.,NOT
@Ahmad_tibi אחמד טיבי אפילו הבוחרים שלך מבינים שאתה טרוריסט מנוול תתאדה לנו מהחיים,Offensive
לדעתי סער ואילנה... נכנסו לאותה המיטה.. רק בשביל שוב לשקר ולהנדס את הבוחר. רר לא ביבי. לשקר אין רגליים...עובדה חייבת להחשיך. בעידן זה פוסט אמת ופייק ניוז הם טרור  ולוחמה ביולוגית לכל דבר . סכנה ברורה ומיידית. https://t.co/qzqdBUThIi,NOT
@yairlapid פתגם ערבי עתיק אומר: ان كنت كذاب ـ افتكر אם אתה שקרן  חשוב היטב בטרם תשקר. אם אתה שקרן   עליך להיות בעל זיכרון טוב  לבל יחשפו את שקריך. הבנת حمار كبير חמר אל כביר https://t.co/4M8zMDiSUZ,Offensive
@AvigdorLiberman חזרת להסית חתיכת אנטישמי ?! איפה הכסף שהבת שלך קיבלה ?! איפה העדים שנעלמו ?! מה עשית 20 שנה בפוליטיקה ?! מה עם 48 השעות של הניה ?!,NOT
RT @hgkkuh: נתניהו מבין שאין לו 61 בלי הרשימה המשותפת ולכן השופרות מתחילים להכשיר את דעת הקהל הימנית לשיתוף פעולה עם תומכי טרור ימינה חייבת…,Offensive
ארגון הטרור חמאס מציין היום 12 שנה למבצע עופרת יצוקה שהחל בדצמבר 2008. לכתבה המלאה לחצו כאן 👇 https://t.co/gXuxnCX0YR,Offensive
@shivatsion @dvir_gopshtein @chanamel1 אם אתה ערבי אז באמת תמוה,NOT
@netanyahu מה עם המובטל המליון? הישראלי המליון שמחפש מזון בפחי האשפה? גם איתם תלך להצטלם? או שתדבר איתם רק אם יבצעו מעשה טרור נגד ערבים?,Offensive
"@YairNetanyahu ימות המשיח סוף כל סוף גילינו את שמו ""זאב אלקין"" רק שהוא לא הגיע עם חמור אלא הוא החמור !",NOT
@AnshelPfeffer הגזמת  אתה מאחל למדינת ישראל  עוכר ישראל בנימין נתניהו ימשיך להיות ראש ממשלה  נורא ואיום  פושע פלילי סידרתי  מפר אמונים תמידי  שקרן ורמאי בלתי נלאה  בוגד סדרתי בבטחון המדינה  ימשיך להיות ראש ממשלה?,Offensive
"זה מדהים לראות איך עיתונאים בישראל שרגילים להצדיק את. עשי הרצח של צה""ל ולא לשאול שאלות  הופכים לפעילי זכויות אדם כאשר מדובר במתנחל דתי שאפילו לא ירו בו. פתאום הוא ילד  שרק זרק אבנים  דורשים חקירה בלתי תלויה. מה קרה לתואר מחבל שסיכן חיים? מתי דרשו חקירה חיצונית לחיילי צה""ל?",NOT
@arieh_king @Riklin10 @batelkol אריה כאשר מתייחסים לנוער בתור אויב שדמו מותר. כך הוא מגיב. גם אני הייתי שם בהפגנה. בבלפור הם לא היו מעיזים לנהוג ככה. תפסיק להצדיק את האלימות. נרצח פה חבר שלהם על ידי המשטרה. הם מרגישים שהממשלה עוברת על כך בשתיקה וזה התגובה,NOT
@LihiRon @Bis0PV4IUjCiJQC @alteregospirit @deIgTonGmUJjvuD תמשיכו לפתח את הנושא. מעניין רצח,NOT
הפוליטיקה של הזהות היתה ועודה מכשיר פוסט-ציוני של האליטה. לצורך זה גוייסו וקיבלו במה לא פרופורציונית אנשים שחזרו מלימודים באמריקה  והגיעו לכאן עם האידיאולוגיה הפוסט-לאומית של השמאל. והם היו הכי מועילים לפרוייקט הפירוק אם הם היו מזרחיים. הנה מה שכתב פרופ' סמי שלום שטרית ב 1993: &gt;&gt;,NOT
@yarivop @YinonMagal אין סימטריה. אצל הפלסטינים לרצוח יהודים זאת אידאולוגיה  אצל נערי הגבעות זאת לא. (לא כולם וכו),Offensive
נהג ערבי פוגע בשוטר בזמן שהוא נמלט מנסיון תקיפה https://t.co/2nDMDqlD3u,Offensive
@BenCaspit למה ?? כי זו מורשת יוזף גבלס   ימח שמו וזכרו !,NOT
"@igal_malka @Blockers2020 ""בערב כחול יפה מתמיד יצאתי להפגין על רצח תלמיד ירח עגול טייל בין עבים וזרח בעיני חבריו המומים. הו מכתזית הו כלי הרסני קטן הו מכתזית בררנינית לא תתיזי על בוחרי כחול-לבן. חזרתי רטוב אך בשער בניין עומד לו בחור וראשו כולו דם וכמו בצי",NOT
@ZigManD88 @amitay_dror אחי הוא לא דיבר פה הרשימה המשותפת  רשום במפורש מהחשבון האישי שלו ששלח הודעה לכל העוקבים  עם הערבים שרוצים להשמיד אותנו. דהיינו  ערבים רוצים להשמיד אותנו. אין יותר הסתה מזה  תהפוך את זה 900 פעם זו הסתה פר אקסלנס. אין בעיה לאהוב את ב,Offensive
@eyalvenoa @uribreitman מעבר לזה רק הבוקר פורסם ששירותי הביטחון של הרשות מנעו פיגוע דקירה של פלסטיניות משכם,NOT
איילה חסון עושה פיגוע לסער. שמו אותו בראיון בלובי של איזשהוא מקום עם רקע נוראי.....איזה היועץ תקשורת שלו???,NOT
@mossi_raz כיבוש וליברלי לא הולכים ביחד. ראס בינענו לא הולכים ביחד,NOT
@herutcohen לא שמעת על כך כי הפגנות בלפור המקוריות היו באוהל של שליט מול בית ראש הממשלה  בלי שעניין אותם שגם החמאס רואה את הלחץ המיותר על המנהיגות שלנו וכך החמאס השמח העלה בכל שבוע הפגנה את הדרישה בשיחרור עוד רוצח אחד עם דם על הידיים. והגיעו לאלף  וחלק ממ,Offensive
@hamartef @MoranT555 אבל הסברתי שיש מנעד בין להתנגד לציונות לבין להיות ציוני בזהות האישית שלך.,NOT
@ilanshpr @ErelSegal נער גבעות מת... מחבל בן 16. כן  הוא יהודי אבל עדיין זריקת אבנים על עוברים ושבים  עובדתית בלי תודעתית  בשטחים בדרך כלל נחשבת פעולת טרור. די אראל  מעדיף לא לראות לך.,Offensive
@FluffyBodySoap רק אם המישהו ההוא עומד לרצוח אותך בעצמו,NOT
אני מזכיר לגזען הקטן הזה שבאתיופיה היהודים נרדפו ע״י אריתראים וסודנים וכל מי שחשקה נפשו לרצוח לשדוד או לאנוס. עכשיו הגזען רוצה להביא עלינו את החרא שהוא סבל ממנו באתיופיה תוך שהוא מתעלם לגמרי מהאמת שתושבי דרום תל אביב סובלים כבר עשרות שנים בנסיון כוחני של בעלי עניין להעיף אותם משם https://t.co/x4f5vJbA0N,Offensive
"@s_dermer לי המילים ""גידול נגוע"" ו""ערבי"" אחת ליד השניה קצת מזכיר גזענות. מצטער.",NOT
מחבל מתאבד הומו בגן עדן: https://t.co/ZpD56QmiVY,Offensive
"RT @Itai_Leshem: למה השתיקה? כולם מבינים שהיה משהו מסריח ב""תחקיר"" של אילנה דיין בעניין עו""ד רוט אבל לא רוצים לשחוט פרה קדושה מהחשש שיוודע ל…",Offensive
"@BreslauerEdith @KarenLHaber מעניין שהבחור הנחמד שהגיב שאני מניח שהוא ערבי  לא דיבר על גזענות  כי הוא ידע מהיכן אני מגיע. ודווקא 2 היהודיות מחמד התנפלו עלי עם ""גזען""...",Offensive
"@erancherpak יפה לראות איך הם פתאום מתגברים על הפחד מ""פירוק הקואליציה"" ע""י עבאס  עד לא מזמן ""תומך טרור"" לשיטתם  ""אם הממשלה תרצה לתקוף בעזה"". אז אם הבנתי נכון  שמאל שחובר לערבים הוא ""בוגדני""  ימין שחובר לערבים הוא ""אמיץ"". סאטירה על עצמם.",NOT
השר לבטחון פנים ביקר אתמול משפחה של מחבל יהודי שנהרג בתאונה עבודה  יממה לאחר שמחבלים יהודים אחרים התפרעו ותקפו את השוטרים שלו.,NOT
@MyHactana המטרה היא לא לפגוע בממשלה או באזרחים המטרה היא לפגוע בריבונות של המדינה בגדול מה שכתוב במאמר הבא: https://t.co/Wdfrcf9WWQ,NOT
@1dm5sos היא גם שוביניסטית רצח הומופובית וגזענית,NOT
"כמו שלא שותקים על פיגועי טרור פלסטינים כנגד יהודים  כך צריך לגנות ולפעול כשקורה משהו נורא כדוגמת הדבר הזה בשטחי יהודה ושומרון. אסור לצה""ל לשתוק על זה מבחינה מוסרית וערכית. צה""ל צריך לתחקר את האירוע ביסודיות ואת כל המעורבים בפרשה עד להבנת התקרית האמיתית ואם צריך להעניש  אז להעניש. https://t.co/LhteKleP79",Offensive
RT @herzelhajaj: אבו מאזן מהרשות הרצחנית שישראל מתעקשת לשתף איתה פעולה  מעביר בבת אחת משכורת לשלושה חודשים למחבלים ובני משפחתם  אתם מבינים…,Offensive
@igal_malka @Shutup100000 לא  אתה בהחלט מאשים. רכב של עבריינים התהפך בזמן מרדף משטרתי ואתה שואל מי רצח.,NOT
@dgol2 @Avi06587672 @MoranT555 @DaphnaLiel מנטליות של עבדים מזכירה לי אמירה של הימלר יימח שימו וזכרו. לא פלא שפעם יהודי המזרח חלו בגזזת ועבדו בגטאות. בטח אתה אחד מאלה ששלחו אותם,NOT
"@yarivop באמת תפנה אותנו לכותרת כזו על פלסטיני שנהרג ע""י כוחות הביטחון הפלסטינים כי הוא ניסה לפגוע ביהודים. פעם אחרונה שבדקתי  הרשות משלמת פנסיה לכל מפגע כזה כל חייו. המקצוע הכי משתלם ברשות הוא לרצוח יהודים.",Offensive
@TalShorrer בטח תותח הוא לא חרדי  ערבי או מהפריפריה   תחי הצביעות משרת את האינטרסים שלך כתושב האזור .. אחרת היה פורע חוק ...ככה זה במדינת האנרכיה ..,NOT
@arnonsegal1 אם ההרוג היה ערבי היו צולבים את אותם שוטרים. #צדק_לאהוביה_סנדק,NOT
RT @JCPA_Hebrew: מצרים חושפת את קשר מימון הטרור בין האחים המוסלמים לחמאס &gt;&gt;&gt; https://t.co/xevyTzJheS @yonibmen #JCPA #Egypt #MuslimBrotherh…,Offensive
@a51LetvgkZzmWCw שיריונים מעולים!!! חסר לי ערבי ברשימה,Offensive
כיבוש מוגן https://t.co/ky42VJ1cxw,NOT
@YOSEPHABARAK1 @BenderMbds @sagitag7 ומה עשה איתו? כלום! הוא לא יודע להרכיב ממשלה  אין לו שותפים אלא אם אלה תומכי טרור  צר לי אבל זה המצב... הלוואי והיה שונה ורק בשביל להשקיט את הרעש שלכם.,Offensive
"@Hula_Valley זה בשביל עדר המוסתים. איך התובעת תהיה מאויימת ברמה הגבוהה ביותר  כולל איומי רצח על בנה  אם המטומטמים לא יקבלו את המנה היומית של בלופים על ""תפירת תיקים"". בשביל דבורין זה ביזנס  אז מה אכפת לו לשקר?",NOT
